SSIZE;stype;D;BF;TW;TF;BW;BH;BT;BDIST
IPE80;H;80;46;3.8;5.2;100;60;6;400
IPE100;H;100;55;4.1;5.7;130;60;6;400
IPE120;H;120;64;4.4;6.3;140;80;6;400
IPE140;H;140;73;4.7;6.9;160;100;8;400
IPE160;H;160;82;5;7.4;180;100;8;400
IPE180;H;180;91;5.3;8;200;100;8;400
IPE200;H;200;100;5.6;8.5;220;100;8;400
IPE220;H;220;110;5.9;9.2;240;120;10;400
IPE240;H;240;120;6.2;9.8;260;120;10;400
IPE270;H;270;135;6.6;10.2;290;120;10;400
IPE300;H;300;150;7.1;10.7;320;120;10;400
IPE330;H;330;160;7.5;11.5;340;150;12;400
IPE360;H;360;170;8;12.7;360;150;12;400
IPE400;H;400;180;8.6;13.5;380;150;12;400
IP3450;H;450;190;9.4;14.6;400;150;12;400
IPE500;H;500;200;10.2;16;420;150;12;400
IPE550;H;550;210;11.1;17.2;440;150;12;400
IPE600;H;600;220;12;19;460;150;12;400
